name,cluster,origin
Nguyễn,Nguyen,vietnamese
N'Guyen,Nguyen,vietnamese
Ruan,Nguyen,vietnamese
Yuen,Nguyen,vietnamese
Gnieuh,Nguyen,vietnamese
Nguang,Nguyen,vietnamese
Mbappe,Mbappe,african
Mbappé,Mbappe,african
M'bappé,Mbappe,african
Aarhus,Aarhus,nordic
Århus,Aarhus,nordic
Stephan,Stephan,greek
Esteban,Stephan,greek
Stefan,Stephan,greek
Stephane,Stephan,greek
Stjepan,Stephan,greek
Stephen,Stephan,greek
Steven,Stephan,greek
Moszje,Moses,hebrew
Moshe,Moses,hebrew
Moses,Moses,hebrew
Moïse,Moses,hebrew
Patxaran,Patxaran,catalan
Pacharan,Patxaran,catalan
Patcharane,Patxaran,catalan
Lefèvre,Lefèvre,french
Lefébvre,Lefèvre,french
Lefevre,Lefèvre,french
Lefébure,Lefèvre,french
Dougherty,Dougherty,gaelic
Doherty,Dougherty,gaelic
Daugherty,Dougherty,gaelic
Dochartaigh,Dougherty,gaelic
Dyke,Dijk,dutch
Dike,Dijk,dutch
Dijk,Dijk,dutch
László,László,slavic
Laszlo,László,slavic
Laszlow,László,slavic
Lazslow,László,slavic
Zhuravskaya,Zhuravskaya,slavic
Djouravskaïa,Zhuravskaya,slavic
George,George,greek
Djorje,George,greek
Djordje,George,greek
Geoffrey,Geoffrey,greek
Jeffrey,Geoffrey,greek
Raoul,Raoul,germanic
Raoule,Raoul,germanic
Rahul,Raoul,germanic
Ralf,Ralf,germanic
Ralph,Ralf,germanic
Grégoire,Gregor,greek
Gregor,Gregor,greek
Grzegorz,Gregor,greek
Khodorkovski,Khodorkovski,slavic
Khodorkovsky,Khodorkovski,slavic
Jodorowsky,Jodorowsky,slavic
Jodorovsky,Jodorowsky,slavic
Walid,Walid,arabic
Oualid,Walid,arabic
Waleed,Walid,arabic
Khalid,Khalid,arabic
Kalid,Khalid,arabic
Khaled,Khalid,arabic
Layla,Layla,hebrew
Leila,Layla,hebrew
Leïla,Layla,hebrew
Leyla,Layla,hebrew
Nicolas,Nicolas,greek
Nicholas,Nicolas,greek
Nickolas,Nicolas,greek
Nikolas,Nicolas,greek
Nikolaus,Nicolas,greek
Niccolo,Nicolas,greek
Nichols,Nicolas,greek
Nikolaï,Nicolas,greek
Gwladys,Gwladys,celt
Gladys,Gwladys,celt
Gladisse,Gwladys,celt
Gwladis,Gwladys,celt
Gladysse,Gwladys,celt
Gladis,Gwladys,celt
Gladice,Gwladys,celt
Buzin,Budzyń,polish
Buzyn,Budzyń,polish
Budzyń,Budzyń,polish
Budzyn,Budzyń,polish
Neufchâtel,Neufchatel,french
Neufchatel,Neufchatel,french
Neuchatel,Neufchatel,french
Neufchastel,Neufchatel,french
Soizig,Soizig,gaelic
Soizic,Soizig,gaelic
Franz,Franz,germanic
Frantz,Franz,germanic
Joseph,Joseph,hebrew
Josef,Joseph,hebrew
Iosif,Joseph,hebrew
Ioussouf,Joseph,hebrew
Stuart,Stuart,english
Steward,Stuart,english
Stewart,Stuart,english
Steuart,Stuart,english
MacPherson,MacPherson,english
MacFerson,MacPherson,english
McPherson,MacPherson,english
MccPherson,MacPherson,english
Kincaid,Kincaid,gaelic
Kincade,Kincaid,gaelic
Quincey,Quincey,english
Quincy,Quincey,english
Ashlee,Ashleigh,english
Ashley,Ashleigh,english
Ashleigh,Ashleigh,english
Riddle,Riddle,english
Riddel,Riddle,english
Riddell,Riddle,english
Ridell,Riddle,english
Quixote,Quijote,catalan
Quichote,Quijote,catalan
Quichotte,Quijote,catalan
Quijote,Quijote,catalan
Hopetown,Hopetown,english
Hopetoun,Hopetown,english
Jamel,Jamel,arabic
Djamal,Jamel,arabic
Djamel,Jamel,arabic
Jamal,Jamel,arabic
Djamaal,Jamal,arabic
Wild,Wild,english
Wyld,Wild,english
Crombie,Crombie,english
Cromby,Crombie,english
Crumby,Crombie,english
Crommie,Crombie,english
